title,authors,abstract,categories,created
Understanding Prediction Discrepancies in Machine Learning Classifiers,,"A multitude of classifiers can be trained on the same data to achieve similar
performances during test time, while having learned significantly different
classification patterns. This phenomenon, which we call prediction
discrepancies, is often associated with the blind selection of one model
instead of another with similar performances. When making a choice, the machine
learning practitioner has no understanding on the differences between models,
their limits, where they agree and where they don't. But his/her choice will
result in concrete consequences for instances to be classified in the
discrepancy zone, since the final decision will be based on the selected
classification pattern. Besides the arbitrary nature of the result, a bad
choice could have further negative consequences such as loss of opportunity or
lack of fairness. This paper proposes to address this question by analyzing the
prediction discrepancies in a pool of best-performing models trained on the
same data. A model-agnostic algorithm, DIG, is proposed to capture and explain
discrepancies locally, to enable the practitioner to make the best educated
decision when selecting a model by anticipating its potential undesired
consequences. All the code to reproduce the experiments is available.",cs.LG cs.AI,2021-04-12
"A Generalized Projected Bellman Error for Off-policy Value Estimation in
  Reinforcement Learning",,"Many reinforcement learning algorithms rely on value estimation, however, the
most widely used algorithms -- namely temporal difference algorithms -- can
diverge under both off-policy sampling and nonlinear function approximation.
Many algorithms have been developed for off-policy value estimation based on
the linear mean squared projected Bellman error (MSPBE) and are sound under
linear function approximation. Extending these methods to the nonlinear case
has been largely unsuccessful. Recently, several methods have been introduced
that approximate a different objective -- the mean-squared Bellman error (MSBE)
-- which naturally facilitate nonlinear approximation. In this work, we build
on these insights and introduce a new generalized MSPBE that extends the linear
MSPBE to the nonlinear setting. We show how this generalized objective unifies
previous work and obtain new bounds for the value error of the solutions of the
generalized objective. We derive an easy-to-use, but sound, algorithm to
minimize the generalized objective, and show that it is more stable across
runs, is less sensitive to hyperparameters, and performs favorably across four
control domains with neural network function approximation.",cs.LG cs.AI,2021-04-28
Generalized Kernel Thinning,,"The kernel thinning (KT) algorithm of Dwivedi and Mackey (2021) compresses a
probability distribution more effectively than independent sampling by
targeting a reproducing kernel Hilbert space (RKHS) and leveraging a less
smooth square-root kernel. Here we provide four improvements. First, we show
that KT applied directly to the target RKHS yields tighter, dimension-free
guarantees for any kernel, any distribution, and any fixed function in the
RKHS. Second, we show that, for analytic kernels like Gaussian, inverse
multiquadric, and sinc, target KT admits maximum mean discrepancy (MMD)
guarantees comparable to or better than those of square-root KT without making
explicit use of a square-root kernel. Third, we prove that KT with a fractional
power kernel yields better-than-Monte-Carlo MMD guarantees for non-smooth
kernels, like Laplace and Mat\'ern, that do not have square-roots. Fourth, we
establish that KT applied to a sum of the target and power kernels (a procedure
we call KT+) simultaneously inherits the improved MMD guarantees of power KT
and the tighter individual function guarantees of target KT. In our experiments
with target KT and KT+, we witness significant improvements in integration
error even in $100$ dimensions and when compressing challenging differential
equation posteriors.",stat.ML cs.LG math.ST stat.ME stat.TH,2021-10-04
Log-concave poset inequalities,,"We study combinatorial inequalities for various classes of set systems:
matroids, polymatroids, poset antimatroids, and interval greedoids. We prove
log-concavity inequalities for counting certain weighted feasible words, which
generalize and extend several previous results establishing Mason conjectures
for the numbers of independent sets of matroids. Notably, we prove matching
equality conditions for both earlier inequalities and our extensions.
  In contrast with much of the previous work, our proofs are combinatorial and
employ nothing but linear algebra. We use the language formulation of greedoids
which allows a linear algebraic setup, which in turn can be analyzed
recursively. The underlying non-commutative nature of matrices associated with
greedoids allows us to proceed beyond polymatroids and prove the equality
conditions. As further application of our tools, we rederive both Stanley's
inequality on the number of certain linear extensions, and its equality
conditions, which we then also extend to the weighted case.",math.CO cs.DM,2021-10-20
"U-Net-based Lung Thickness Map for Pixel-level Lung Volume Estimation of
  Chest X-rays",,"Purpose: We aimed to estimate the total lung volume (TLV) from real and
synthetic frontal X-ray radiographs on a pixel level using lung thickness maps
generated by a U-Net.
  Methods: 5,959 thorax X-ray computed tomography (CT) scans were retrieved
from two publicly available datasets of the lung nodule analysis 2016 (n=656)
and the RSNA pulmonary embolism detection challenge 2020 (n=5,303).
Additionally, thorax CT scans from 72 subjects (33 healthy: 20 men, mean age
[range] = 62.4 [34, 80]; 39 suffering from chronic obstructive pulmonary
disease: 25 men, mean age [range] = 69.0 [47, 91]) were retrospectively
selected (10.2018-12.2019) from our in-house dataset such that for each
subject, a frontal chest X-ray radiograph no older than seven days was
available. All CT scans and their corresponding lung segmentation were forward
projected using a simulated X-ray spectrum to generate synthetic radiographs
and lung thickness maps, respectively. A U-Net model was trained and tested on
synthetic radiographs from the public datasets to predict lung thickness maps
and consequently estimate TLV. Model performance was further assessed by
evaluating the TLV estimations for the in-house synthetic and real radiograph
pairs using Pearson correlation coefficient (r) and significance testing.
  Results: Strong correlations were measured between the predicted and
CT-derived ground truth TLV values for test data from synthetic
($n_{Public}$=1,191, r=0.987, P < 0.001; $n_{In-house}$=72, r=0.973, P < 0.001)
and real radiographs (n=72, r=0.908, P < 0.001).
  Conclusion: TLV from U-Net-generated pixel-level lung thickness maps were
successfully estimated for synthetic and real radiographs.",eess.IV cs.AI cs.CV,2021-10-24
Neyman-Pearson Multi-class Classification via Cost-sensitive Learning,,"Most existing classification methods aim to minimize the overall
misclassification error rate. However, in applications such as loan default
prediction, different types of errors can have varying consequences. To address
this asymmetry issue, two popular paradigms have been developed: the
Neyman-Pearson (NP) paradigm and the cost-sensitive (CS) paradigm. Previous
studies on the NP paradigm have primarily focused on the binary case, while the
multi-class NP problem poses a greater challenge due to its unknown
feasibility. In this work, we tackle the multi-class NP problem by establishing
a connection with the CS problem via strong duality and propose two algorithms.
We extend the concept of NP oracle inequalities, crucial in binary
classifications, to NP oracle properties in the multi-class context. Our
algorithms satisfy these NP oracle properties under certain conditions.
Furthermore, we develop practical algorithms to assess the feasibility and
strong duality in multi-class NP problems, which can offer practitioners the
landscape of a multi-class NP problem with various target error levels.
Simulations and real data studies validate the effectiveness of our algorithms.
To our knowledge, this is the first study to address the multi-class NP problem
with theoretical guarantees. The proposed algorithms have been implemented in
the R package \texttt{npcs}, which is available on CRAN.",stat.ML cs.LG stat.ME,2021-11-08
Reputation Gaming in Stack Overflow,,"Stack Overflow incentive system awards users with reputation scores to ensure
quality. The decentralized nature of the forum may make the incentive system
prone to manipulation. This paper offers, for the first time, a comprehensive
study of the reported types of reputation manipulation scenarios that might be
exercised in Stack Overflow and the prevalence of such reputation gamers by a
qualitative study of 1,697 posts from meta Stack Exchange sites. We found four
different types of reputation fraud scenarios, such as voting rings where
communities form to upvote each other repeatedly on similar posts. We developed
algorithms that enable platform managers to automatically identify these
suspicious reputation gaming scenarios for review. The first algorithm
identifies isolated/semi-isolated communities where probable reputation frauds
may occur mostly by collaborating with each other. The second algorithm looks
for sudden unusual big jumps in the reputation scores of users. We evaluated
the performance of our algorithms by examining the reputation history dashboard
of Stack Overflow users from the Stack Overflow website. We observed that
around 60-80% of users flagged as suspicious by our algorithms experienced
reductions in their reputation scores by Stack Overflow.",cs.SE,2021-11-13
"From Unsupervised to Few-shot Graph Anomaly Detection: A Multi-scale
  Contrastive Learning Approach",,"Anomaly detection from graph data is an important data mining task in many
applications such as social networks, finance, and e-commerce. Existing efforts
in graph anomaly detection typically only consider the information in a single
scale (view), thus inevitably limiting their capability in capturing anomalous
patterns in complex graph data. To address this limitation, we propose a novel
framework, graph ANomaly dEtection framework with Multi-scale cONtrastive
lEarning (ANEMONE in short). By using a graph neural network as a backbone to
encode the information from multiple graph scales (views), we learn better
representation for nodes in a graph. In maximizing the agreements between
instances at both the patch and context levels concurrently, we estimate the
anomaly score of each node with a statistical anomaly estimator according to
the degree of agreement from multiple perspectives. To further exploit a
handful of ground-truth anomalies (few-shot anomalies) that may be collected in
real-life applications, we further propose an extended algorithm, ANEMONE-FS,
to integrate valuable information in our method. We conduct extensive
experiments under purely unsupervised settings and few-shot anomaly detection
settings, and we demonstrate that the proposed method ANEMONE and its variant
ANEMONE-FS consistently outperform state-of-the-art algorithms on six benchmark
datasets.",cs.LG,2022-02-11
Firefighting with a Distance-Based Restriction,,"In the classic version of the game of firefighter, on the first turn a fire
breaks out on a vertex in a graph $G$ and then $k$ firefighters protect $k$
vertices. On each subsequent turn, the fire spreads to the collective unburnt
neighbourhood of all the burning vertices and the firefighters again protect
$k$ vertices. Once a vertex has been burnt or protected it remains that way for
the rest of the game. A common objective with respect to some infinite graph
$G$ is to determine how many firefighters are necessary to stop the fire from
spreading after a finite number of turns, commonly referred to as containing
the fire. We introduce the concept of distance-restricted firefighting where
the firefighters' movement is restricted so they can only move up to some fixed
distance $d$ per turn rather than being able to move without restriction. We
establish some general properties of this new game in contrast to properties of
the original game, and we investigate specific cases of the distance-restricted
game on the infinite square, strong, and hexagonal grids. We conjecture that
two firefighters are insufficient on the square grid when $d = 2$, and we pose
some questions about how many firefighters are required in general when $d =
1$.",math.CO cs.DM,2022-04-04
Isoperimetric Inequalities Made Simpler,,"We give an alternative, simple method to prove isoperimetric inequalities
over the hypercube. In particular, we show:
  1. An elementary proof of classical isoperimetric inequalities of Talagrand,
as well as a stronger isoperimetric result conjectured by Talagrand and
recently proved by Eldan and Gross.
  2. A strengthening of the Friedgut junta theorem, asserting that if the
$p$-moment of the sensitivity of a function is constant for some $1/2 +
\varepsilon\leq p\leq 1$, then the function is close to a junta. In this
language, Friedgut's theorem is the special case that $p=1$.",math.CO cs.DM,2022-04-13
What You See is What You Classify: Black Box Attributions,,"An important step towards explaining deep image classifiers lies in the
identification of image regions that contribute to individual class scores in
the model's output. However, doing this accurately is a difficult task due to
the black-box nature of such networks. Most existing approaches find such
attributions either using activations and gradients or by repeatedly perturbing
the input. We instead address this challenge by training a second deep network,
the Explainer, to predict attributions for a pre-trained black-box classifier,
the Explanandum. These attributions are provided in the form of masks that only
show the classifier-relevant parts of an image, masking out the rest. Our
approach produces sharper and more boundary-precise masks when compared to the
saliency maps generated by other methods. Moreover, unlike most existing
approaches, ours is capable of directly generating very distinct class-specific
masks in a single forward pass. This makes the proposed method very efficient
during inference. We show that our attributions are superior to established
methods both visually and quantitatively with respect to the PASCAL VOC-2007
and Microsoft COCO-2014 datasets.",cs.CV cs.AI cs.LG,2022-05-23
The virtual element method on polygonal pixel-based tessellations,,"We analyze and validate the virtual element method combined with a boundary
correction similar to the one in [1,2], to solve problems on two dimensional
domains with curved boundaries approximated by polygonal domains. We focus on
the case of approximating domains obtained as the union of squared elements out
of a uniform structured mesh, such as the one that naturally arises when the
domain is issued from an image. We show, both theoretically and numerically,
that resorting to polygonal elements allows the assumptions required for
stability to be satisfied for any polynomial order. This allows us to fully
exploit the potential of higher order methods. Efficiency is ensured by a novel
static condensation strategy acting on the edges of the decomposition.",math.NA cs.NA,2022-06-07
"Parallel Compositing of Volumetric Depth Images for Interactive
  Visualization of Distributed Volumes at High Frame Rates",,"We present a parallel compositing algorithm for Volumetric Depth Images
(VDIs) of large three-dimensional volume data. Large distributed volume data
are routinely produced in both numerical simulations and experiments, yet it
remains challenging to visualize them at smooth, interactive frame rates. VDIs
are view-dependent piecewise constant representations of volume data that offer
a potential solution. They are more compact and less expensive to render than
the original data. So far, however, there is no method for generating VDIs from
distributed data. We propose an algorithm that enables this by sort-last
parallel generation and compositing of VDIs with automatically chosen
content-adaptive parameters. The resulting composited VDI can then be streamed
for remote display, providing responsive visualization of large, distributed
volume data.",cs.GR,2022-06-29
One-Time Certificates for Reliable and Secure Document Signing,,"Electronic documents are signed using private keys and verified using the
corresponding digital certificates through the well-known public key
infrastructure model. Private keys must be kept in a safe container so they can
be reused. This makes private key management a critical component of public key
infrastructures with no failproof answer. Therefore, existing solutions must
employ cumbersome and often expensive revocation methods to handle private key
compromises. We propose a new cryptographic key management model built with
long-term, irrevocable digital certificates, each bound to a single document.
Our model issues a unique digital certificate for each new document to be
signed. We demonstrate that private keys associated with these certificates
should be deleted after each signature, eliminating the need to store those
keys. Furthermore, we show that these certificates do not require any
revocation mechanism to be trusted. We analyze the overhead caused by the
frequent generation of new key pairs for each document, provide a security
overview and show the advantages over the traditional model.",cs.CR,2022-08-08
Generalization in Neural Networks: A Broad Survey,,"This paper reviews concepts, modeling approaches, and recent findings along a
spectrum of different levels of abstraction of neural network models including
generalization across (1) Samples, (2) Distributions, (3) Domains, (4) Tasks,
(5) Modalities, and (6) Scopes. Strategies for (1) sample generalization from
training to test data are discussed, with suggestive evidence presented that,
at least for the ImageNet dataset, popular classification models show
substantial overfitting. An empirical example and perspectives from statistics
highlight how models' (2) distribution generalization can benefit from
consideration of causal relationships and counterfactual scenarios. Transfer
learning approaches and results for (3) domain generalization are summarized,
as is the wealth of domain generalization benchmark datasets available. Recent
breakthroughs surveyed in (4) task generalization include few-shot
meta-learning approaches and the emergence of transformer-based foundation
models such as those used for language processing. Studies performing (5)
modality generalization are reviewed, including those that integrate image and
text data and that apply a biologically-inspired network across olfactory,
visual, and auditory modalities. Higher-level (6) scope generalization results
are surveyed, including graph-based approaches to represent symbolic knowledge
in networks and attribution strategies for improving networks' explainability.
Additionally, concepts from neuroscience are discussed on the modular
architecture of brains and the steps by which dopamine-driven conditioning
leads to abstract thinking.",cs.LG cs.AI,2022-09-04
A learning theory for quantum photonic processors and beyond,,"We consider the tasks of learning quantum states, measurements and channels
generated by continuous-variable (CV) quantum circuits. This family of circuits
is suited to describe optical quantum technologies and in particular it
includes state-of-the-art photonic processors capable of showing quantum
advantage. We define classes of functions that map classical variables, encoded
into the CV circuit parameters, to outcome probabilities evaluated on those
circuits. We then establish efficient learnability guarantees for such classes,
by computing bounds on their pseudo-dimension or covering numbers, showing that
CV quantum circuits can be learned with a sample complexity that scales
polynomially with the circuit's size, i.e., the number of modes. Our results
show that CV circuits can be trained efficiently using a number of training
samples that, unlike their finite-dimensional counterpart, does not scale with
the circuit depth.",quant-ph cs.CC cs.IT cs.LG math-ph math.IT math.MP,2022-09-07
"SleePyCo: Automatic Sleep Scoring with Feature Pyramid and Contrastive
  Learning",,"Automatic sleep scoring is essential for the diagnosis and treatment of sleep
disorders and enables longitudinal sleep tracking in home environments.
Conventionally, learning-based automatic sleep scoring on single-channel
electroencephalogram (EEG) is actively studied because obtaining multi-channel
signals during sleep is difficult. However, learning representation from raw
EEG signals is challenging owing to the following issues: 1) sleep-related EEG
patterns occur on different temporal and frequency scales and 2) sleep stages
share similar EEG patterns. To address these issues, we propose a deep learning
framework named SleePyCo that incorporates 1) a feature pyramid and 2)
supervised contrastive learning for automatic sleep scoring. For the feature
pyramid, we propose a backbone network named SleePyCo-backbone to consider
multiple feature sequences on different temporal and frequency scales.
Supervised contrastive learning allows the network to extract class
discriminative features by minimizing the distance between intra-class features
and simultaneously maximizing that between inter-class features. Comparative
analyses on four public datasets demonstrate that SleePyCo consistently
outperforms existing frameworks based on single-channel EEG. Extensive ablation
experiments show that SleePyCo exhibits enhanced overall performance, with
significant improvements in discrimination between the N1 and rapid eye
movement (REM) stages.",cs.LG cs.AI eess.SP,2022-09-20
"Enhancing convolutional neural network generalizability via low-rank
  weight approximation",,"Noise is ubiquitous during image acquisition. Sufficient denoising is often
an important first step for image processing. In recent decades, deep neural
networks (DNNs) have been widely used for image denoising. Most DNN-based image
denoising methods require a large-scale dataset or focus on supervised
settings, in which single/pairs of clean images or a set of noisy images are
required. This poses a significant burden on the image acquisition process.
Moreover, denoisers trained on datasets of limited scale may incur
over-fitting. To mitigate these issues, we introduce a new self-supervised
framework for image denoising based on the Tucker low-rank tensor
approximation. With the proposed design, we are able to characterize our
denoiser with fewer parameters and train it based on a single image, which
considerably improves the model's generalizability and reduces the cost of data
acquisition. Extensive experiments on both synthetic and real-world noisy
images have been conducted. Empirical results show that our proposed method
outperforms existing non-learning-based methods (e.g., low-pass filter,
non-local mean), single-image unsupervised denoisers (e.g., DIP, NN+BM3D)
evaluated on both in-sample and out-sample datasets. The proposed method even
achieves comparable performances with some supervised methods (e.g., DnCNN).",cs.CV cs.LG stat.AP stat.ML,2022-09-26
KRF: Keypoint Refinement with Fusion Network for 6D Pose Estimation,,"Some robust point cloud registration approaches with controllable pose
refinement magnitude, such as ICP and its variants, are commonly used to
improve 6D pose estimation accuracy. However, the effectiveness of these
methods gradually diminishes with the advancement of deep learning techniques
and the enhancement of initial pose accuracy, primarily due to their lack of
specific design for pose refinement. In this paper, we propose Point Cloud
Completion and Keypoint Refinement with Fusion Data (PCKRF), a new pose
refinement pipeline for 6D pose estimation. The pipeline consists of two steps.
First, it completes the input point clouds via a novel pose-sensitive point
completion network. The network uses both local and global features with pose
information during point completion. Then, it registers the completed object
point cloud with the corresponding target point cloud by our proposed Color
supported Iterative KeyPoint (CIKP) method. The CIKP method introduces color
information into registration and registers a point cloud around each keypoint
to increase stability. The PCKRF pipeline can be integrated with existing
popular 6D pose estimation methods, such as the full flow bidirectional fusion
network, to further improve their pose estimation accuracy. Experiments
demonstrate that our method exhibits superior stability compared to existing
approaches when optimizing initial poses with relatively high precision.
Notably, the results indicate that our method effectively complements most
existing pose estimation techniques, leading to improved performance in most
cases. Furthermore, our method achieves promising results even in challenging
scenarios involving textureless and symmetrical objects. Our source code is
available at https://github.com/zhanhz/KRF.",cs.CV cs.RO,2022-10-07
"DPIS: An Enhanced Mechanism for Differentially Private SGD with
  Importance Sampling",,"Nowadays, differential privacy (DP) has become a well-accepted standard for
privacy protection, and deep neural networks (DNN) have been immensely
successful in machine learning. The combination of these two techniques, i.e.,
deep learning with differential privacy, promises the privacy-preserving
release of high-utility models trained with sensitive data such as medical
records. A classic mechanism for this purpose is DP-SGD, which is a
differentially private version of the stochastic gradient descent (SGD)
optimizer commonly used for DNN training. Subsequent approaches have improved
various aspects of the model training process, including noise decay schedule,
model architecture, feature engineering, and hyperparameter tuning. However,
the core mechanism for enforcing DP in the SGD optimizer remains unchanged ever
since the original DP-SGD algorithm, which has increasingly become a
fundamental barrier limiting the performance of DP-compliant machine learning
solutions.
  Motivated by this, we propose DPIS, a novel mechanism for differentially
private SGD training that can be used as a drop-in replacement of the core
optimizer of DP-SGD, with consistent and significant accuracy gains over the
latter. The main idea is to employ importance sampling (IS) in each SGD
iteration for mini-batch selection, which reduces both sampling variance and
the amount of random noise injected to the gradients that is required to
satisfy DP. Integrating IS into the complex mathematical machinery of DP-SGD is
highly non-trivial. DPIS addresses the challenge through novel mechanism
designs, fine-grained privacy analysis, efficiency enhancements, and an
adaptive gradient clipping optimization. Extensive experiments on four
benchmark datasets, namely MNIST, FMNIST, CIFAR-10 and IMDb, demonstrate the
superior effectiveness of DPIS over existing solutions for deep learning with
differential privacy.",cs.CR cs.LG,2022-10-18
RepGhost: A Hardware-Efficient Ghost Module via Re-parameterization,,"Feature reuse has been a key technique in light-weight convolutional neural
networks (CNNs) architecture design. Current methods usually utilize a
concatenation operator to keep large channel numbers cheaply (thus large
network capacity) by reusing feature maps from other layers. Although
concatenation is parameters- and FLOPs-free, its computational cost on hardware
devices is non-negligible. To address this, this paper provides a new
perspective to realize feature reuse implicitly and more efficiently instead of
concatenation. A novel hardware-efficient RepGhost module is proposed for
implicit feature reuse via reparameterization, instead of using concatenation
operator. Based on the RepGhost module, we develop our efficient RepGhost
bottleneck and RepGhostNet. Experiments on ImageNet and COCO benchmarks
demonstrate that our RepGhostNet is much more effective and efficient than
GhostNet and MobileNetV3 on mobile devices. Specially, our RepGhostNet
surpasses GhostNet 0.5x by 2.5% Top-1 accuracy on ImageNet dataset with less
parameters and comparable latency on an ARM-based mobile device. Code and model
weights are available at https://github.com/ChengpengChen/RepGhost.",cs.CV,2022-11-11
"Contextual Bandits with Packing and Covering Constraints: A Modular
  Lagrangian Approach via Regression",,"We consider contextual bandits with linear constraints (CBwLC), a variant of
contextual bandits in which the algorithm consumes multiple resources subject
to linear constraints on total consumption. This problem generalizes contextual
bandits with knapsacks (CBwK), allowing for packing and covering constraints,
as well as positive and negative resource consumption. We provide the first
algorithm for CBwLC (or CBwK) that is based on regression oracles. The
algorithm is simple, computationally efficient, and statistically optimal under
mild assumptions. Further, we provide the first vanishing-regret guarantees for
CBwLC (or CBwK) that extend beyond the stochastic environment. We side-step
strong impossibility results from prior work by identifying a weaker (and,
arguably, fairer) benchmark to compare against. Our algorithm builds on
LagrangeBwK (Immorlica et al., FOCS 2019), a Lagrangian-based technique for
CBwK, and SquareCB (Foster and Rakhlin, ICML 2020), a regression-based
technique for contextual bandits. Our analysis leverages the inherent
modularity of both techniques.",cs.LG stat.ML,2022-11-14
